CLAVE,SITIO,ESTADO,LATITUD,LONGITUD,SEMAFORO,CLUSTER
OCPSU4686,PLAYA TORTUGUERA TIERRA COLORADA 1,OAXACA,16.279,-98.45899,Verde,0
OCPSU4687,RIO ATOYAC 9,OAXACA,17.06201,-96.73815,Amarillo,2
OCPSU4688,RIO ATOYAC 10,OAXACA,17.09297,-96.75567,Amarillo,2
OCPSU4689,RIO ATOYAC 11,OAXACA,17.1119,-96.76536,Amarillo,2
OCPSU4690,RIO ATOYAC 12,OAXACA,17.10109,-96.76006,Amarillo,2
OCPSU4691,RIO ATOYAC 13,OAXACA,17.11494,-96.77377,Amarillo,2
OCPSU4692,RIO ATOYAC 14,OAXACA,17.12465,-96.78243,Verde,2
OCPSU4694,RIO ATOYAC 15,OAXACA,17.16451,-96.80541,Verde,2
OCPSU4695,RIO ATOYAC 16,OAXACA,17.1712,-96.81377,Rojo,0
OCPSU4696M1,SAN ANTONIO DE LA CAL 1,OAXACA,17.05085,-96.70425,Rojo,2
OCPSU4697M1,EL ROSARIO,OAXACA,17.05436,-96.69349,Rojo,2
OCPSU4698,RIO ATOYAC 19,OAXACA,17.2149,-96.82968,Rojo,2
OCPSU4699,RIO ATOYAC 20,OAXACA,17.21658,-96.83096,Rojo,2
OCPSU4701,RIO ATOYAC HUITZO- PUENTE SERVILLETERO,OAXACA,17.28223,-96.90049,Rojo,0
OCPSU4702,RIO ATOYAC 8,OAXACA,17.03516,-96.72707,Rojo,2
OCPSU4703,RIO ATOYAC 7 AGUAS ABAJO DEL PUENTE,OAXACA,17.0153,-96.7138,Rojo,2
OCPSU4704,"ENVASADORA GUGAR, S.A. DE C.V. (AGUAS ABAJO)",OAXACA,17.05049,-96.65783,Amarillo,2
OCPSU4705,"ENVASADORA GUGAR, S.A. DE C.V. (AGUAS ARRIBA)",OAXACA,17.04866,-96.6535,Rojo,2
OCPSU4706,RIO ATOYAC 6,OAXACA,16.76617,-96.77966,Rojo,2
OCPSU4707,RIO ATOYAC 5,OAXACA,16.9907,-96.71943,Rojo,2
OCPSU4708,"CASA ARMANDO GUILLERMO PRIETO, S.A. DE C.V. (AGUAS ARRIBA)",OAXACA,16.9631,-96.5224,Rojo,2
OCPSU4709,"CASA ARMANDO GUILLERMO PRIETO, S.A. DE C.V. (AGUAS ABAJO)",OAXACA,16.9628,-96.5215,Rojo,0
OCPSU4711M1,RIO LAJE,OAXACA,15.83131,-96.32828,Amarillo,0
OCPSU4712,PUENTE TEQUISISTLAN (ANTES PUENTE MARILU),OAXACA,16.41495,-95.59847,Verde,0
OCPSU4714,PRESA BENITO JUAREZ CORTINA,OAXACA,16.4899,-95.4575,Verde,0
OCPSU4715,PRESA BENITO JUAREZ 3,OAXACA,16.4791,-95.4495,Verde,0
OCPSU4716,PRESA BENITO JUAREZ 4,OAXACA,16.4507,-95.4032,Verde,0
OCPSU4717,PRESA BENITO JUAREZ CORTINA,OAXACA,16.44455,-95.39909,Verde,0
OCPSU4718,RIO TEHUANTEPEC,OAXACA,16.4428,-95.39369,Verde,0
OCPSU4719M1,LOS PERROS XADANI,OAXACA,16.38278,-95.01183,Verde,0
OCPSU4720,RIO TEHUANTEPEC 5,OAXACA,16.37794,-95.28828,Verde,0
OCPSU4721,PUENTE TEHUANTEPEC,OAXACA,16.3297,-95.23468,Verde,0
OCPSU4722,RIO TEHUANTEPEC 3,OAXACA,16.31105,-95.21679,Verde,0
OCPSU4723,RIO TEHUANTEPEC PUENTE HUILOTEPEC,OAXACA,16.24019,-95.15659,Verde,0
OCPSU4724,RIO TEHUANTEPEC 4,OAXACA,16.1881,-95.14612,Verde,0
OCPSU4726,DESEMBOCADURA RIO TEHUANTEPEC 2,OAXACA,16.18783,-95.14723,Verde,0
OCPSU4727M1,BAHIA SANTA CRUZ BAMBA,OAXACA,16.00412,-95.40587,Verde,0
OCPSU4728M1,PLAYA DE SANTIAGO ASTATA,OAXACA,15.92928,-95.61524,Rojo,0
OCPSU4729,"BAHIA LA VENTOSA SEG 65, 2 ISA10B",OAXACA,16.18584,-95.15152,Verde,0
OCPSU4730,"AQUASISTEMA SALINA CRUZ, S.A. DE C.V. (AGUAS ARRIBA)",OAXACA,16.18148,-95.15674,Verde,0
OCPSU4731,"AQUASISTEMA SALINA CRUZ, S.A. DE C.V. (AGUAS ABAJO)",OAXACA,16.18339,-95.15385,Verde,0
OCPSU4732,"BAHIA LA VENTOSA SEG 65, 1 ISA10B",OAXACA,16.179,-95.15692,Verde,0
OCPSU4733,BAHIA SALINA CRUZ (DARSENA PUERTO INDUSTRIAL),OAXACA,16.16658,-95.1967,Rojo,0
OCPSU4736,"PLAYA SALINA CRUZ SEG 64, 1 ISA7",OAXACA,16.16718,-95.19079,Rojo,0
OCPSU4737,PUERTO DE SALINA CRUZ,OAXACA,16.16092,-95.19655,Rojo,0
OCPSU4738,"PLAYA SALINA CRUZ SEG 62, 2 ISA7",OAXACA,16.15503,-95.20407,Verde,0
OCPSU4739,"PLAYA SALINA CRUZ SEG 62, 1 ISA7",OAXACA,16.15774,-95.23179,Verde,0
OCPSU4740M1,PLAYA VENTANILLA,OAXACA,15.66731,-96.57643,Verde,0
OCPSU4741,LAGUNA SALINAS DEL MARQUEZ DESEMBOCADURA 1,OAXACA,16.14168,-95.25053,Rojo,0
OCPSU4743,PLAYA AZUL 2 SEG 61 ISA7,OAXACA,16.11686,-95.28034,Verde,0
OCPSU4745,"PLAYA CANGREJO SEG 60, 2 ISA6",OAXACA,16.06225,-95.3678,Verde,0
OCPSU4752,LAGUNA SUPERIOR 1,OAXACA,16.3282,-95.0257,Verde,0
OCPSU4753,PUENTE SALTILLO,OAXACA,16.4248,-95.0228,Rojo,0
OCPSU4754,PUENTE LOS PERROS,OAXACA,16.44012,-95.0257,Rojo,0
OCPSU4755,RIO LOS PERROS 4,OAXACA,16.5005,-95.0555,Rojo,1
OCPSU4756,RIO LOS PERROS 3,OAXACA,16.5237,-95.0687,Rojo,1
OCPSU4757,RIO LOS PERROS 2,OAXACA,16.61135,-95.17571,Verde,0
OCPSU4758,RIO LOS PERROS 5,OAXACA,16.62399,-95.23867,Verde,0
OCPSU4759,PRESA BENITO JUAREZ 2,OAXACA,16.5252,-95.4614,Verde,0
OCPSU4760M1,LAGUNA BOCA DEL RIO 1,OAXACA,16.19259,-95.16608,Verde,0
OCPSU4761M1,LAGUNA BOCA DEL RIO 2,OAXACA,16.18356,-95.15802,Verde,0
OCPSU4762,LAGUNA COLORADA 1,OAXACA,15.95661,-95.57586,Rojo,0
OCPSU4763,PLAYA FRENTE A LAGUNA COLORADA SEG 59 ISA 6,OAXACA,15.9531,-95.5782,Verde,0
OCPSU4766M1,SANTA MARIA XADANI,OAXACA,15.94397,-96.02631,Verde,0
OCPSU4767M1,BARRA DE COPALITA,OAXACA,15.82111,-96.06556,Verde,0
OCPSU4768,RIO AYUTA 1,OAXACA,15.91726,-95.85161,Verde,0
OCPSU4773,RIO ZIMATAN 2,OAXACA,15.8309,-95.9931,Verde,0
OCPSU4774,RIO ZIMATAN 1,OAXACA,15.8464,-95.998,Verde,0
OCPSU4775W1,RIO COPALITA 1,OAXACA,15.81,-96.0621,Amarillo,0
OCPSU4778W1,PLAYA LA BOCANA,OAXACA,15.7864,-96.0551,Rojo,0
OCPSU4780,BAHIA DE TANGOLUNDA SEG 55 2 ISA 8A,OAXACA,15.7685,-96.0989,Verde,0
OCPSU4781,BAHIA DE TANGOLUNDA SEG 55 3 ISA 8A,OAXACA,15.7665,-96.0998,Verde,0
OCPSU4782,HAUTULCO SEG 55 3 ISA 8A,OAXACA,15.76081,-96.12116,Verde,0
OCPSU4783,HUATULCO SEG 55 2 ISA 8A,OAXACA,15.76015,-96.12138,Verde,0
OCPSU4784,HUATULCO SEG 55 I ISA 8A,OAXACA,15.75795,-96.1238,Verde,0
OCPSU4785,BAHIA SANTA CRUZ HUATULCO,OAXACA,15.7517,-96.1286,Verde,0
OCPSU4786,PLAYA CHONITA SEG 54 2 ISA 9,OAXACA,15.74427,-96.12926,Rojo,0
OCPSU4787,PLAYA CHONITA SEG 54 1 ISA 9,OAXACA,15.74358,-96.12813,Verde,0
OCPSU4788,SANTA CRUZ HUATULCO,OAXACA,15.75262,-96.1313,Rojo,0
OCPSU4789W1,CUENCAS Y CORALES DE LA ZONA COSTERA DE HUATULCO 6,OAXACA,15.7332,-96.1588,Rojo,0
OCPSU4790M1,PUENTE RIO COYULA,OAXACA,15.75544,-96.29983,Amarillo,0
OCPSU4791,CUENCAS Y CORALES DE LA ZONA COSTERA DE HUATULCO 4,OAXACA,15.7337,-96.1497,Verde,0
OCPSU4792W1,CUENCAS Y CORALES DE LA ZONA COSTERA DE HUATULCO 3,OAXACA,15.7233,-96.1664,Verde,0
